tempo;nivel;pwm
3;2.80;243.00
3;2.89;242.00
3;2.80;243.00
3;2.80;243.00
3;2.80;243.00
3;2.91;241.00
3;2.80;243.00
3;2.80;243.00
3;2.80;243.00
3;2.91;241.00
3;2.80;243.00
3;2.80;243.00
3;2.80;243.00
3;2.05;255.00
3;2.51;249.00
3;2.51;249.00
3;2.91;241.00
3;2.80;243.00
4;2.51;249.00
4;1.64;255.00
4;1.93;255.00
4;2.51;249.00
4;1.93;255.00
4;1.74;255.00
4;2.51;249.00
4;1.64;255.00
4;1.17;255.00
4;0.76;255.00
4;1.65;255.00
4;1.07;255.00
4;-1.26;255.00
4;1.17;255.00
4;1.93;255.00
4;2.22;255.00
4;2.32;253.00
4;3.09;238.00
5;2.22;255.00
5;2.80;243.00
5;0.78;255.00
5;1.05;255.00
5;2.80;243.00
5;2.80;243.00
5;1.64;255.00
5;1.64;255.00
5;-0.28;255.00
5;-0.99;255.00
5;2.61;247.00
5;1.36;255.00
5;3.09;238.00
5;3.20;236.00
5;1.05;255.00
5;3.09;238.00
5;2.80;243.00
5;2.91;241.00
6;1.93;255.00
6;0.76;255.00
6;3.83;223.00
6;2.80;243.00
6;2.80;243.00
6;2.80;243.00
6;2.91;241.00
6;3.73;225.00
6;3.73;225.00
6;2.53;249.00
6;2.61;247.00
6;3.40;231.00
6;3.40;231.00
6;3.42;231.00
6;2.61;247.00
6;3.09;238.00
6;3.42;231.00
6;3.09;238.00
6;3.20;236.00
7;3.09;238.00
7;3.09;238.00
7;3.09;238.00
7;3.20;236.00
7;3.09;238.00
7;1.95;255.00
7;1.17;255.00
7;2.80;243.00
7;1.64;255.00
7;2.22;255.00
7;1.65;255.00
7;3.73;225.00
7;3.73;225.00
7;2.91;241.00
7;2.80;243.00
7;1.93;255.00
7;3.73;225.00
7;3.83;223.00
8;2.51;249.00
8;2.80;243.00
8;2.80;243.00
8;3.52;229.00
8;3.42;231.00
8;3.42;231.00
8;3.42;231.00
8;4.38;212.00
8;4.38;212.00
8;4.36;212.00
8;3.09;238.00
8;3.09;238.00
8;-5.33;255.00
8;2.22;255.00
8;2.32;253.00
8;-0.11;255.00
8;2.22;255.00
8;2.32;253.00
9;3.09;238.00
9;4.05;218.00
9;2.80;243.00
9;3.75;225.00
9;1.34;255.00
9;3.75;225.00
9;2.91;241.00
9;2.80;243.00
9;3.09;238.00
9;1.93;255.00
9;0.30;255.00
9;3.73;225.00
9;2.51;249.00
9;2.03;255.00
9;3.09;238.00
9;3.09;238.00
9;3.42;231.00
9;3.83;223.00
9;3.73;225.00
10;4.05;218.00
10;3.09;238.00
10;3.20;236.00
10;2.51;249.00
10;3.73;225.00
10;3.73;225.00
10;4.16;216.00
10;4.05;218.00
10;3.09;238.00
10;2.51;249.00
10;2.51;249.00
10;0.47;255.00
10;3.20;236.00
10;3.09;238.00
10;3.09;238.00
10;3.42;231.00
10;3.40;231.00
10;3.09;238.00
11;4.05;218.00
11;4.05;218.00
11;4.05;218.00
11;4.05;218.00
11;4.05;218.00
11;4.05;218.00
11;4.16;216.00
11;4.05;218.00
11;4.05;218.00
11;2.80;243.00
11;3.73;225.00
11;3.73;225.00
11;3.73;225.00
11;2.91;241.00
11;3.73;225.00
11;3.73;225.00
11;4.69;206.00
11;4.69;206.00
12;4.69;206.00
12;3.42;231.00
12;3.73;225.00
12;3.73;225.00
12;3.73;225.00
12;4.69;206.00
12;3.42;231.00
12;3.40;231.00
12;4.69;206.00
12;4.38;212.00
12;4.38;212.00
12;4.38;212.00
12;4.48;210.00
12;4.38;212.00
12;4.38;212.00
12;4.36;212.00
12;4.38;212.00
12;4.05;218.00
12;4.36;212.00
13;4.05;218.00
13;5.34;193.00
13;4.16;216.00
13;4.05;218.00
13;4.38;212.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;4.05;218.00
13;3.83;223.00
13;5.01;199.00
13;5.01;199.00
14;5.01;199.00
14;5.01;199.00
14;3.83;223.00
14;4.71;205.00
14;3.40;231.00
14;4.71;205.00
14;3.85;223.00
14;4.69;206.00
14;4.69;206.00
14;4.69;206.00
14;4.71;205.00
14;4.79;204.00
14;3.40;231.00
14;3.42;231.00
14;4.38;212.00
14;3.52;229.00
14;2.51;249.00
14;3.42;231.00
14;3.51;229.00
15;3.42;231.00
15;2.80;243.00
15;2.51;249.00
15;5.01;199.00
15;5.34;193.00
15;5.34;193.00
15;5.01;199.00
15;5.34;193.00
15;4.16;216.00
15;5.01;199.00
15;5.01;199.00
15;5.98;180.00
15;4.71;205.00
15;4.69;206.00
15;5.01;199.00
15;5.01;199.00
15;5.01;199.00
15;5.98;180.00
16;5.98;180.00
16;5.98;180.00
16;6.08;178.00
16;4.69;206.00
16;4.69;206.00
16;5.98;180.00
16;1.64;255.00
16;4.38;212.00
16;5.67;186.00
16;2.51;249.00
16;3.73;225.00
16;5.12;197.00
16;5.01;199.00
16;3.73;225.00
16;5.01;199.00
