tempo;nivel;pwm
10;2.22;255.00
10;3.09;238.00
10;3.20;236.00
10;3.09;238.00
10;3.09;238.00
10;3.20;236.00
10;3.09;238.00
10;3.08;238.00
10;3.08;238.00
10;3.20;236.00
10;3.09;238.00
10;3.09;238.00
10;2.32;253.00
10;3.09;238.00
10;1.93;255.00
10;2.03;255.00
10;2.80;244.00
10;1.05;255.00
10;2.91;241.00
11;2.80;244.00
11;-1.28;255.00
11;2.22;255.00
11;2.80;244.00
11;2.22;255.00
11;2.22;255.00
11;2.80;244.00
11;2.80;244.00
11;2.80;244.00
11;2.80;244.00
11;2.80;244.00
11;2.91;241.00
11;0.76;255.00
11;2.51;249.00
11;2.51;249.00
11;2.51;249.00
11;2.51;249.00
11;2.51;249.00
12;2.51;249.00
12;2.51;249.00
12;2.22;255.00
12;2.51;249.00
12;2.51;249.00
12;2.22;255.00
12;3.09;238.00
12;1.05;255.00
12;2.22;255.00
12;3.09;238.00
12;3.09;238.00
12;3.20;236.00
12;3.09;238.00
12;2.22;255.00
12;2.91;241.00
12;2.80;244.00
12;2.80;244.00
12;2.91;241.00
13;2.80;244.00
13;2.80;244.00
13;2.80;244.00
13;2.80;244.00
13;2.82;243.00
13;1.64;255.00
13;1.64;255.00
13;2.80;244.00
13;2.51;249.00
13;1.64;255.00
13;1.64;255.00
13;1.74;255.00
13;2.51;249.00
13;1.34;255.00
13;2.32;253.00
13;2.22;255.00
13;2.22;255.00
13;3.20;236.00
13;3.09;238.00
14;3.09;238.00
14;2.32;253.00
14;3.09;238.00
14;1.93;255.00
14;2.32;253.00
14;2.22;255.00
14;3.09;238.00
14;3.20;236.00
14;1.93;255.00
14;1.93;255.00
14;2.32;253.00
14;1.93;255.00
14;0.18;255.00
14;1.34;255.00
14;0.18;255.00
14;2.91;241.00
14;2.80;244.00
14;-0.68;255.00
15;2.80;244.00
15;3.73;225.00
15;3.73;225.00
15;2.03;255.00
15;3.73;225.00
15;3.73;225.00
15;3.73;225.00
15;2.61;247.00
15;3.40;232.00
15;3.42;231.00
15;3.52;229.00
15;3.40;232.00
15;3.40;232.00
15;3.40;232.00
15;3.52;229.00
15;3.40;232.00
15;3.42;231.00
15;3.09;238.00
16;3.09;238.00
16;4.36;212.00
16;4.38;212.00
16;4.38;212.00
16;3.09;238.00
16;3.09;238.00
16;4.04;219.00
16;4.05;218.00
16;4.05;218.00
16;4.05;218.00
16;4.05;218.00
16;4.04;219.00
16;4.14;217.00
16;4.05;218.00
16;4.05;218.00
16;3.73;225.00
16;3.83;223.00
16;3.73;225.00
16;3.73;225.00
17;3.73;225.00
17;3.83;223.00
17;3.73;225.00
17;3.73;225.00
17;3.73;225.00
17;3.73;225.00
17;3.40;232.00
17;3.40;232.00
17;3.51;229.00
17;4.69;206.00
17;3.40;232.00
17;3.09;238.00
17;4.36;212.00
17;4.36;212.00
17;4.36;212.00
17;4.36;212.00
17;4.36;212.00
17;4.48;210.00
18;4.38;212.00
18;4.38;212.00
18;4.38;212.00
18;4.36;212.00
18;4.05;218.00
18;4.05;218.00
18;4.05;218.00
18;4.05;218.00
18;4.05;218.00
18;4.05;218.00
18;4.05;218.00
18;3.75;225.00
18;4.16;216.00
18;4.04;219.00
18;4.05;218.00
18;3.73;225.00
18;3.83;223.00
18;5.01;199.00
19;5.01;199.00
19;5.01;199.00
19;3.73;225.00
19;4.69;206.00
19;4.69;206.00
19;4.69;206.00
19;3.40;232.00
19;4.69;206.00
19;4.69;206.00
19;4.69;206.00
19;4.36;212.00
19;4.36;212.00
19;4.47;210.00
19;4.38;212.00
19;4.36;212.00
19;4.38;212.00
19;4.36;212.00
19;4.36;212.00
19;4.36;212.00
20;4.38;212.00
20;4.36;212.00
20;5.44;191.00
20;5.34;193.00
20;5.34;193.00
20;5.32;193.00
20;5.32;193.00
20;5.32;193.00
20;5.44;191.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
20;5.01;199.00
21;5.01;199.00
21;4.79;204.00
21;4.69;206.00
21;4.69;206.00
21;4.69;206.00
21;4.69;206.00
21;4.79;204.00
21;4.69;206.00
21;4.69;206.00
21;4.69;206.00
21;4.69;206.00
21;4.48;210.00
21;5.65;187.00
21;4.36;212.00
21;4.38;212.00
21;4.38;212.00
21;4.47;210.00
21;4.36;212.00
22;4.36;212.00
22;5.32;193.00
22;5.34;193.00
22;5.43;191.00
22;5.32;193.00
22;5.32;193.00
22;5.32;193.00
22;5.34;193.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
22;5.01;199.00
23;5.01;199.00
23;6.08;178.00
23;5.98;180.00
23;4.69;206.00
23;5.98;180.00
23;5.98;180.00
23;4.69;206.00
23;5.65;187.00
23;5.65;187.00
23;5.65;187.00
23;5.65;187.00
23;5.65;187.00
23;5.65;187.00
23;5.65;187.00
23;5.75;185.00
23;5.65;187.00
23;5.65;187.00
23;5.65;187.00
24;4.36;212.00
24;5.65;187.00
24;5.65;187.00
24;5.32;193.00
24;5.32;193.00
24;5.34;193.00
24;5.34;193.00
24;5.32;193.00
24;5.32;193.00
24;5.01;199.00
24;5.01;199.00
24;5.01;199.00
24;6.28;174.00
24;6.30;174.00
24;5.01;199.00
24;5.01;199.00
24;5.00;200.00
24;6.30;174.00
24;5.01;199.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;5.98;180.00
25;6.08;178.00
25;5.65;187.00
25;5.65;187.00
25;5.65;187.00
25;5.65;187.00
25;5.65;187.00
25;5.65;187.00
25;5.75;185.00
26;5.65;187.00
26;5.65;187.00
26;5.65;187.00
26;6.61;167.00
26;6.61;167.00
26;5.34;193.00
26;5.44;191.00
26;5.34;193.00
26;5.34;193.00
26;5.32;193.00
26;5.32;193.00
26;6.28;174.00
26;5.32;193.00
26;5.32;193.00
26;6.28;174.00
26;6.30;174.00
26;6.30;174.00
26;6.30;174.00
27;5.01;199.00
27;5.01;199.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;5.98;180.00
27;6.94;161.00
27;6.94;161.00
27;6.94;161.00
27;6.94;161.00
27;6.94;161.00
27;6.94;161.00
28;5.67;186.00
28;5.65;187.00
28;5.67;186.00
28;6.63;167.00
28;6.61;167.00
28;6.61;167.00
28;6.61;167.00
28;6.63;167.00
28;6.61;167.00
28;6.61;167.00
28;6.63;167.00
28;6.61;167.00
28;6.30;174.00
28;6.28;174.00
28;6.61;167.00
28;6.28;174.00
28;6.28;174.00
28;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;6.30;174.00
29;5.98;180.00
29;5.98;180.00
29;5.98;180.00
29;5.98;180.00
29;5.98;180.00
29;4.69;206.00
29;6.94;161.00
29;6.94;161.00
29;6.94;161.00
30;6.94;161.00
30;6.94;161.00
30;6.94;161.00
30;6.94;161.00
30;6.94;161.00
30;5.65;187.00
30;6.61;167.00
30;6.61;167.00
30;6.63;167.00
30;6.61;167.00
30;6.63;167.00
30;6.63;167.00
30;6.61;167.00
30;6.63;167.00
30;6.61;167.00
30;6.61;167.00
30;6.61;167.00
30;6.61;167.00
30;6.30;174.00
31;7.59;148.00
31;7.57;148.00
31;6.30;174.00
31;7.59;148.00
31;6.30;174.00
31;7.26;154.00
31;7.26;154.00
31;7.26;154.00
31;7.26;154.00
31;7.26;154.00
31;7.26;154.00
31;7.26;154.00
31;7.26;154.00
31;5.98;180.00
31;5.96;180.00
31;5.98;180.00
31;6.94;161.00
31;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;6.94;161.00
32;3.73;225.00
32;6.61;167.00
32;3.73;225.00
32;6.61;167.00
32;6.61;167.00
32;6.61;167.00
32;6.61;167.00
32;6.61;167.00
33;6.61;167.00
33;6.61;167.00
33;6.30;174.00
33;6.30;174.00
33;6.28;174.00
33;7.59;148.00
33;7.57;148.00
33;5.98;180.00
33;7.24;155.00
33;7.24;155.00
33;7.26;154.00
33;7.26;154.00
33;7.26;154.00
33;7.26;154.00
33;7.26;154.00
33;7.16;156.00
33;7.26;154.00
33;7.26;154.00
34;7.26;154.00
34;7.24;155.00
34;7.26;154.00
34;7.26;154.00
34;8.20;135.00
34;8.22;135.00
34;8.22;135.00
34;8.22;135.00
34;8.22;135.00
34;8.20;135.00
34;8.22;135.00
34;6.94;161.00
34;7.90;142.00
34;7.90;142.00
34;7.90;142.00
34;7.90;142.00
34;7.90;142.00
34;7.90;142.00
35;7.90;142.00
35;7.90;142.00
35;7.90;142.00
35;7.90;142.00
35;7.90;142.00
35;7.90;142.00
35;6.63;167.00
35;7.59;148.00
35;7.57;148.00
35;7.59;148.00
35;7.59;148.00
35;7.57;148.00
35;7.57;148.00
35;7.57;148.00
35;7.57;148.00
35;7.57;148.00
35;6.30;174.00
35;7.59;148.00
35;7.59;148.00
36;7.57;148.00
36;7.26;154.00
36;7.24;155.00
36;7.24;155.00
36;7.26;154.00
36;7.26;154.00
36;7.26;154.00
36;7.24;155.00
36;7.26;154.00
36;7.26;154.00
36;7.26;154.00
36;7.26;154.00
36;7.26;154.00
36;7.26;154.00
36;7.26;154.00
36;8.22;135.00
36;8.22;135.00
36;8.22;135.00
37;8.22;135.00
37;8.22;135.00
37;8.22;135.00
37;6.94;161.00
37;7.79;144.00
37;7.90;142.00
37;7.90;142.00
37;7.90;142.00
37;7.91;141.00
37;7.90;142.00
37;7.90;142.00
37;7.90;142.00
37;7.90;142.00
37;7.90;142.00
37;7.59;148.00
37;8.87;122.00
37;8.86;122.00
37;8.86;122.00
37;8.87;122.00
38;8.79;124.00
38;8.75;124.00
38;8.75;124.00
38;8.75;124.00
38;8.75;124.00
38;8.86;122.00
38;8.87;122.00
38;8.87;122.00
38;8.86;122.00
38;8.87;122.00
38;8.86;122.00
38;8.53;129.00
38;8.55;129.00
38;8.55;129.00
38;8.55;129.00
38;8.55;129.00
38;8.53;129.00
38;8.55;129.00
39;8.55;129.00
39;8.53;129.00
39;8.55;129.00
39;8.55;129.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;8.20;135.00
39;8.22;135.00
39;8.22;135.00
39;8.22;135.00
39;7.90;142.00
39;8.22;135.00
40;7.90;142.00
40;7.91;141.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;7.90;142.00
40;8.86;122.00
40;8.87;122.00
40;7.90;142.00
40;8.86;122.00
40;8.86;122.00
40;8.86;122.00
40;8.87;122.00
41;8.86;122.00
41;8.86;122.00
41;8.86;122.00
41;8.86;122.00
41;8.87;122.00
41;8.87;122.00
41;8.87;122.00
41;8.53;129.00
41;8.53;129.00
41;8.55;129.00
41;8.53;129.00
41;8.55;129.00
41;8.55;129.00
41;8.55;129.00
41;8.53;129.00
41;8.55;129.00
41;8.55;129.00
41;8.43;131.00
42;8.44;131.00
42;8.43;131.00
42;9.41;111.00
42;9.41;111.00
42;9.49;110.00
42;9.51;109.00
42;9.51;109.00
42;9.49;110.00
42;9.51;109.00
42;9.49;110.00
42;9.51;109.00
42;9.51;109.00
42;9.51;109.00
42;9.49;110.00
42;9.51;109.00
42;9.49;110.00
42;9.39;112.00
42;9.41;111.00
42;8.22;135.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;9.18;116.00
43;8.86;122.00
43;8.86;122.00
43;8.86;122.00
43;8.86;122.00
44;8.75;124.00
44;8.75;124.00
44;8.75;124.00
44;8.77;124.00
44;8.86;122.00
44;8.86;122.00
44;8.86;122.00
44;8.87;122.00
44;8.86;122.00
44;8.87;122.00
44;8.87;122.00
44;8.86;122.00
44;8.55;129.00
44;8.53;129.00
44;8.55;129.00
44;8.55;129.00
44;8.53;129.00
44;8.53;129.00
44;8.53;129.00
45;8.55;129.00
45;8.55;129.00
45;8.55;129.00
45;8.55;129.00
45;8.53;129.00
45;9.51;109.00
45;9.51;109.00
45;9.51;109.00
45;9.51;109.00
45;9.51;109.00
45;9.39;112.00
45;9.41;111.00
45;9.47;110.00
45;9.51;109.00
45;9.49;110.00
45;9.51;109.00
45;9.51;109.00
45;9.51;109.00
46;9.51;109.00
46;9.18;116.00
46;9.51;109.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.08;118.00
46;9.08;118.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
46;9.18;116.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;8.87;122.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;8.86;122.00
47;9.82;103.00
47;9.71;105.00
47;9.71;105.00
47;9.82;103.00
