tempo;nivel;pwm
10;2.51;255.00
10;1.64;255.00
10;2.51;255.00
10;1.36;255.00
10;2.32;255.00
10;2.22;255.00
10;2.51;255.00
10;2.61;255.00
10;2.51;255.00
10;2.53;255.00
10;2.61;255.00
10;1.34;255.00
10;1.36;255.00
10;2.34;255.00
10;2.22;255.00
10;1.34;255.00
10;1.93;255.00
10;2.22;255.00
10;-0.59;255.00
11;2.80;255.00
11;2.80;255.00
11;2.03;255.00
11;2.22;255.00
11;2.22;255.00
11;2.32;255.00
11;2.22;255.00
11;3.09;255.00
11;2.32;255.00
11;1.95;255.00
11;2.80;255.00
11;0.86;255.00
11;2.80;255.00
11;2.80;255.00
11;0.86;255.00
11;2.80;255.00
11;2.80;255.00
11;2.91;255.00
12;1.93;255.00
12;2.51;255.00
12;2.55;255.00
12;2.22;255.00
12;1.05;255.00
12;2.51;255.00
12;-0.40;255.00
12;1.45;255.00
12;3.40;255.00
12;2.22;255.00
12;2.61;255.00
12;1.05;255.00
12;3.09;255.00
12;2.32;255.00
12;3.09;255.00
12;3.09;255.00
12;3.20;255.00
12;3.09;255.00
13;3.09;255.00
13;1.16;255.00
13;2.80;255.00
13;1.05;255.00
13;3.20;255.00
13;1.34;255.00
13;2.80;255.00
13;2.91;255.00
13;2.80;255.00
13;2.51;255.00
13;2.61;255.00
13;2.51;255.00
13;2.51;255.00
13;2.61;255.00
13;2.51;255.00
13;2.51;255.00
13;3.20;255.00
13;3.09;255.00
13;2.22;255.00
14;2.32;255.00
14;3.09;255.00
14;1.34;255.00
14;2.32;255.00
14;2.22;255.00
14;2.22;255.00
14;3.20;255.00
14;3.08;255.00
14;1.93;255.00
14;2.34;255.00
14;3.09;255.00
14;1.93;255.00
14;2.91;255.00
14;2.80;255.00
14;2.80;255.00
14;2.03;255.00
14;2.51;255.00
14;2.80;255.00
15;2.03;255.00
15;2.51;255.00
15;2.51;255.00
15;2.61;255.00
15;2.51;255.00
15;2.51;255.00
15;2.61;255.00
15;2.51;255.00
15;1.64;255.00
15;2.32;255.00
15;2.24;255.00
15;1.34;255.00
15;1.45;255.00
15;3.09;255.00
15;3.09;255.00
15;2.32;255.00
15;2.22;255.00
15;2.22;255.00
16;2.32;255.00
16;3.09;255.00
16;3.09;255.00
16;3.20;255.00
16;3.09;255.00
16;3.09;255.00
16;2.80;255.00
16;4.05;255.00
16;4.04;255.00
16;4.05;255.00
16;4.05;255.00
16;4.16;255.00
16;4.05;255.00
16;4.05;255.00
16;4.05;255.00
16;4.16;255.00
16;4.04;255.00
16;3.73;255.00
16;3.75;255.00
17;3.83;255.00
17;3.73;255.00
17;3.73;255.00
17;3.73;255.00
17;3.73;255.00
17;3.40;255.00
17;3.40;255.00
17;3.40;255.00
17;3.73;255.00
17;3.40;255.00
17;3.42;255.00
17;3.52;255.00
17;3.40;255.00
17;3.40;255.00
17;4.38;255.00
17;4.48;255.00
17;4.38;255.00
17;4.38;255.00
18;4.05;255.00
18;4.16;255.00
18;4.05;255.00
18;4.38;255.00
18;4.05;255.00
18;4.05;255.00
18;3.73;255.00
18;3.73;255.00
18;3.73;255.00
18;3.83;255.00
18;2.80;255.00
18;3.73;255.00
18;3.73;255.00
18;3.83;255.00
18;3.73;255.00
18;3.73;255.00
18;3.42;255.00
18;4.69;255.00
19;4.69;255.00
19;4.69;255.00
19;4.69;255.00
19;4.69;255.00
19;4.38;255.00
19;4.38;255.00
19;4.36;255.00
19;4.36;255.00
19;4.47;255.00
19;4.38;255.00
19;4.38;255.00
19;4.38;255.00
19;4.38;255.00
19;4.38;255.00
19;4.36;255.00
19;4.05;255.00
19;4.05;255.00
19;5.34;255.00
19;4.05;255.00
20;4.05;255.00
20;4.05;255.00
20;4.16;255.00
20;4.05;255.00
20;4.05;255.00
20;3.73;255.00
20;2.91;255.00
20;2.80;255.00
20;3.73;255.00
20;3.73;255.00
20;2.51;255.00
20;2.51;255.00
20;1.64;255.00
20;3.73;255.00
20;3.73;255.00
20;3.73;255.00
20;3.83;255.00
20;3.42;255.00
21;4.69;255.00
21;4.69;255.00
21;4.69;255.00
21;4.69;255.00
21;4.38;255.00
21;4.38;255.00
21;4.38;255.00
21;4.48;255.00
21;4.36;255.00
21;4.36;255.00
21;4.38;255.00
21;4.36;255.00
21;5.32;255.00
21;5.32;255.00
21;5.34;255.00
21;5.32;255.00
21;5.32;255.00
21;5.32;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;5.12;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;5.01;255.00
22;4.74;255.00
22;4.69;255.00
22;4.69;255.00
22;4.71;255.00
22;4.69;255.00
22;4.79;255.00
22;5.65;255.00
22;5.65;255.00
22;5.65;255.00
23;5.65;255.00
23;5.65;255.00
23;5.34;255.00
23;5.32;255.00
23;5.34;255.00
23;5.34;255.00
23;5.34;255.00
23;5.32;255.00
23;5.34;255.00
23;5.34;255.00
23;5.34;255.00
23;5.34;255.00
23;5.34;255.00
23;6.30;255.00
23;6.30;255.00
23;6.30;255.00
23;6.28;255.00
23;6.30;255.00
24;6.28;255.00
24;6.28;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.98;255.00
24;5.99;255.00
24;5.98;255.00
24;5.65;255.00
24;5.67;255.00
24;5.65;255.00
24;5.74;255.00
24;5.65;255.00
24;5.65;255.00
24;4.36;255.00
24;5.32;255.00
24;5.34;255.00
25;4.48;255.00
25;4.38;255.00
25;5.65;255.00
25;4.38;255.00
25;4.38;255.00
25;4.36;255.00
25;4.38;255.00
25;4.05;255.00
25;5.34;255.00
25;5.01;255.00
25;5.01;255.00
25;6.30;255.00
25;6.30;255.00
25;5.98;255.00
25;5.98;255.00
25;5.98;255.00
25;5.98;255.00
25;6.08;255.00
25;5.98;255.00
26;5.98;255.00
26;5.98;255.00
26;5.98;255.00
26;6.94;255.00
26;6.94;255.00
26;5.65;255.00
26;5.77;255.00
26;5.67;255.00
26;5.65;255.00
26;5.67;255.00
26;6.61;255.00
26;6.61;255.00
26;6.63;255.00
26;6.61;255.00
26;6.61;255.00
26;6.63;255.00
26;6.30;255.00
26;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;6.30;255.00
27;5.01;255.00
27;5.01;255.00
27;5.34;255.00
27;5.34;255.00
27;5.32;255.00
27;6.61;255.00
27;6.63;255.00
27;6.61;255.00
27;6.61;255.00
27;5.34;255.00
27;6.61;255.00
28;5.34;255.00
28;6.61;255.00
28;6.61;255.00
28;6.61;255.00
28;6.61;255.00
28;6.61;255.00
28;6.61;255.00
28;6.61;255.00
28;6.61;255.00
28;6.63;255.00
28;6.63;255.00
28;6.63;255.00
28;6.63;255.00
28;6.63;255.00
28;7.59;255.00
28;7.59;255.00
28;7.59;255.00
28;7.57;255.00
29;7.59;255.00
29;7.57;255.00
29;7.26;255.00
29;7.26;255.00
29;7.26;255.00
29;5.98;255.00
29;5.65;255.00
29;5.65;255.00
29;5.65;255.00
29;6.94;255.00
29;5.65;255.00
29;5.65;255.00
29;5.67;255.00
29;5.65;255.00
29;2.80;255.00
29;5.65;255.00
29;5.65;255.00
29;5.65;255.00
30;6.61;255.00
30;6.63;255.00
30;6.61;255.00
30;6.63;255.00
30;6.61;255.00
30;7.59;255.00
30;7.59;255.00
30;7.57;255.00
30;7.57;255.00
30;7.59;255.00
30;7.57;255.00
30;7.59;255.00
30;6.30;255.00
30;6.30;255.00
30;7.26;255.00
30;7.24;255.00
30;7.26;255.00
30;7.26;255.00
30;7.26;255.00
31;3.09;255.00
31;5.01;255.00
31;6.30;255.00
31;6.30;255.00
31;5.32;255.00
31;6.63;255.00
31;6.63;255.00
31;6.63;255.00
31;6.63;255.00
31;5.34;255.00
31;4.05;255.00
31;4.12;255.00
31;5.34;255.00
31;3.73;255.00
31;5.98;255.00
31;5.98;255.00
31;7.24;255.00
31;5.98;255.00
32;6.83;255.00
32;6.94;255.00
32;3.73;255.00
32;5.98;255.00
32;7.24;255.00
32;7.24;255.00
32;7.26;255.00
32;7.26;255.00
32;7.26;255.00
32;7.26;255.00
32;7.26;255.00
32;6.08;255.00
32;5.98;255.00
32;6.94;255.00
32;5.67;255.00
32;6.61;255.00
32;6.61;255.00
32;6.61;255.00
32;6.61;255.00
33;7.57;255.00
33;7.59;255.00
33;7.90;255.00
33;7.91;255.00
33;6.61;255.00
33;7.90;255.00
33;7.59;255.00
33;7.59;255.00
33;7.57;255.00
33;7.57;255.00
33;7.57;255.00
33;6.30;255.00
33;5.01;255.00
33;7.26;255.00
33;5.98;255.00
33;8.22;255.00
33;8.22;255.00
33;8.22;255.00
34;8.20;255.00
34;8.22;255.00
34;6.94;255.00
34;8.22;255.00
34;8.22;255.00
34;8.22;255.00
34;8.22;255.00
34;6.94;255.00
34;8.10;255.00
34;8.12;255.00
34;8.12;255.00
34;8.12;255.00
34;8.22;255.00
34;8.22;255.00
34;8.22;255.00
34;8.22;255.00
34;8.24;255.00
34;8.22;255.00
35;9.18;232.00
35;9.08;236.00
35;9.08;236.00
35;9.18;232.00
35;9.18;232.00
35;9.18;232.00
35;7.90;255.00
35;7.90;255.00
35;7.90;255.00
35;8.86;245.00
35;8.86;245.00
35;8.55;255.00
35;7.59;255.00
35;7.57;255.00
35;7.57;255.00
35;6.30;255.00
35;5.01;255.00
35;8.22;255.00
35;8.22;255.00
36;7.90;255.00
36;9.18;232.00
36;9.18;232.00
36;9.18;232.00
36;7.90;255.00
36;4.69;255.00
36;5.98;255.00
36;6.94;255.00
36;8.22;255.00
36;7.90;255.00
36;9.18;232.00
36;9.18;232.00
36;9.18;232.00
36;7.90;255.00
36;7.90;255.00
36;8.87;245.00
36;8.86;245.00
36;8.86;245.00
37;8.86;245.00
37;8.86;245.00
37;8.87;245.00
37;8.86;245.00
37;8.86;245.00
